rank,score,manuscript_id,folio_label,canvas_index,region_url,search_url,work_id,x,y,w,h,rotation_deg,base_width
11,0.42398443708568656,herb_6bfd65319273,NP,74,"https://gallica.bnf.fr/iiif/ark:/12148/btv1b9068099k/f75/4390,1718,2794,2061/full/600,/0/default.jpg","https://gallica.bnf.fr/iiif/ark:/12148/btv1b9068099k/f75/full/768,/0/default.jpg",420453,438,189,145,107,0.0,145
12,0.4242186679977774,acq:61168b29-40b2-49ec-ba86-859aa436b6de,613,612,"https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00009453%2F14%2FRB00009453_00613_0.ptif/1505,643,986,726/full/600,/0/default.jpg","https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00009453%2F14%2FRB00009453_00613_0.ptif/full/768,/0/default.jpg",88751,427,198,145,107,0.0,145
13,0.42431257371319725,acq:50e23f45-547e-4cef-8f56-60ec8ecaa4fb,-,127,"https://iiif.wellcomecollection.org/image/b19295455_ms_790_0128.JP2/86,372,287,210/full/600,/0/default.jpg","https://iiif.wellcomecollection.org/image/b19295455_ms_790_0128.JP2/full/768,/0/default.jpg",74722,125,357,145,107,0.0,145
14,0.4250547058169181,acq:61168b29-40b2-49ec-ba86-859aa436b6de,319,318,"https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00009453%2F08%2FRB00009453_00319_0.ptif/1637,159,986,726/full/600,/0/default.jpg","https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00009453%2F08%2FRB00009453_00319_0.ptif/full/768,/0/default.jpg",88457,460,77,145,107,0.0,145
15,0.4250685771693006,acq:3a1aeaab-8b34-462f-bb57-218ada7c5866,Representative thumbnail,-2,,"https://sharedcanvas.be/IIIF/images/B_OB_MS510%3Ad219baa9-2507-11ec-8a56-fa78ce097218/full/768,/0/default.jpg",57258,584,57,145,107,0.0,145
16,0.42511828146164055,arc_lichtenberger_johannes_prognosticatio_ioannis_liecht,(0008),7,"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00086358_00008/78,895,527,389/full/600,/0/default.jpg","https://api.digitale-sammlungen.de/iiif/image/v2/bsb00086358_00008/full/768,/0/default.jpg",263003,87,455,145,107,0.0,145
17,0.42517169035498803,mn_livre_d_heures_a_l_usage_d_un_diocese_de_flandre_bibli,tranche de queue,447,"https://gallica.bnf.fr/iiif/ark:/12148/btv1b55013304z/f448/175,193,239,176/full/600,/0/default.jpg","https://gallica.bnf.fr/iiif/ark:/12148/btv1b55013304z/f448/full/768,/0/default.jpg",466118,230,235,145,107,0.0,145
18,0.42526771492847726,arc_liber_chronicarum,570,570,"https://iiif.archive.org/image/iiif/3/A335107%2FA335107_jp2.zip%2FA335107_jp2%2FA335107_0570.jp2/400,1230,346,240/full/600,/0/default.jpg","https://iiif.archive.org/image/iiif/3/A335107%2FA335107_jp2.zip%2FA335107_jp2%2FA335107_0570.jp2/full/768,/0/default.jpg",261464,347,943,150,105,5.0,145
19,0.42529990065556966,mn_cambrai_bibliotheque_municipale_0087_0088,f. 047 - vue 1,117,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v1yfuqp4sqg1/0,1352,735,541/full/600,/0/default.jpg","https://iiif.irht.cnrs.fr/iiif/ark:/63955/v1yfuqp4sqg1/full/768,/0/default.jpg",450864,33,490,145,107,0.0,145
20,0.4255726727043427,acq:46bd124c-1bc4-4715-a0ec-b738f72eac2b,head,585,"https://iiif-cloud.princeton.edu/iiif/2/b9%2F18%2F10%2Fb91810ae09c64a8a836ee05275c7f7f3%2Fintermediate_file/606,1324,1603,1182/full/600,/0/default.jpg","https://iiif-cloud.princeton.edu/iiif/2/b9%2F18%2F10%2Fb91810ae09c64a8a836ee05275c7f7f3%2Fintermediate_file/full/768,/0/default.jpg",66833,144,241,145,107,0.0,145
21,0.42560272660387466,zeg_heures_de_jacques_ii_nal_3231,tranche sup.,555,"https://gallica.bnf.fr/iiif/ark:/12148/btv1b100254479/f556/278,552,424,312/full/600,/0/default.jpg","https://gallica.bnf.fr/iiif/ark:/12148/btv1b100254479/f556/full/768,/0/default.jpg",552095,212,358,145,107,0.0,145
22,0.4258197807433044,acq:7f94fef7-cef1-47a5-8b20-449e73010dad,Representative thumbnail,-2,,"https://images.lib.cam.ac.uk/iiif/MS-ADD-03120-000-00001.jp2/full/768,/0/default.jpg",113762,261,848,145,107,0.0,145
23,0.4258435127208805,acq:e3fed553-8107-4536-9376-b650a7fd7755,image 293,292,"https://iiif-cloud.princeton.edu/iiif/2/6a%2Fc0%2Fdc%2F6ac0dc4123d04959914481d9f191601e%2Fintermediate_file/1120,1618,1988,1391/full/600,/0/default.jpg","https://iiif-cloud.princeton.edu/iiif/2/6a%2Fc0%2Fdc%2F6ac0dc4123d04959914481d9f191601e%2Fintermediate_file/full/768,/0/default.jpg",197611,196,244,150,105,5.0,145
24,0.42591867487110313,mn_hours_of_the_virgin_use_of_rome_1967_30_120,384,384,"https://iiif.archive.org/image/iiif/3/1967_30_120%2F1967_30_120_jp2.zip%2F1967_30_120_jp2%2F1967_30_120_0384.jp2/559,2307,556,410/full/600,/0/default.jpg","https://iiif.archive.org/image/iiif/3/1967_30_120%2F1967_30_120_jp2.zip%2F1967_30_120_jp2%2F1967_30_120_0384.jp2/full/768,/0/default.jpg",458894,297,1056,145,107,0.0,145
25,0.4261411259490886,zod_lyon_biblioth_que_municipale_ms_539,f. 114v - vue 1,62,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vtq0w838cy1u/1094,409,972,716/full/600,/0/default.jpg","https://iiif.irht.cnrs.fr/iiif/ark:/63955/vtq0w838cy1u/full/768,/0/default.jpg",568050,328,141,145,107,0.0,145
26,0.42616966171729115,zod_paris_biblioth_que_mazarine_ms_502,f. 086v - vue 1,85,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v06ue1lueqxy/415,1023,603,420/full/600,/0/default.jpg","https://iiif.irht.cnrs.fr/iiif/ark:/63955/v06ue1lueqxy/full/768,/0/default.jpg",571222,228,469,150,105,5.0,145
27,0.42642303511657786,arch_vat_lat_1960,263r,528,"https://digi.vatlib.it/iiifimage/MSS_Vat.lat.1960/Vat.lat.1960_0529_fa_0263r.jp2/1067,517,886,619/full/600,/0/default.jpg","https://digi.vatlib.it/iiifimage/MSS_Vat.lat.1960/Vat.lat.1960_0529_fa_0263r.jp2/full/768,/0/default.jpg",328513,359,185,150,105,5.0,145
28,0.42657506666516615,acq:e3fed553-8107-4536-9376-b650a7fd7755,image 163,162,"https://iiif-cloud.princeton.edu/iiif/2/58%2F08%2F28%2F5808285c4fef4ffe9f57e834cc740bf3%2Fintermediate_file/3769,2412,1871,1381/full/600,/0/default.jpg","https://iiif-cloud.princeton.edu/iiif/2/58%2F08%2F28%2F5808285c4fef4ffe9f57e834cc740bf3%2Fintermediate_file/full/768,/0/default.jpg",197470,547,355,145,107,0.0,145
29,0.42665917811844145,arc_lichtenberger_johannes_prognosticatio_ioannis_liecht,(0083),82,"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00086358_00083/465,175,540,376/full/600,/0/default.jpg","https://api.digitale-sammlungen.de/iiif/image/v2/bsb00086358_00083/full/768,/0/default.jpg",263023,272,119,150,105,5.0,145
30,0.4267493468511535,arch_vat_borgh_225,135r,272,"https://digi.vatlib.it/iiifimage/MSS_Borgh.225/Borgh.225_0273_fa_0135r.jp2/1254,1997,715,501/full/600,/0/default.jpg","https://digi.vatlib.it/iiifimage/MSS_Borgh.225/Borgh.225_0273_fa_0135r.jp2/full/768,/0/default.jpg",322746,499,748,150,105,5.0,145
